ZCR,Intensity,median_pitch,Frecuency,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Labels
0.3727122486888112,normal,-0.813295488,Limite Bajo,5.085933107564536,-1.030341682,-0.765703551,-0.689261082,0.18220598749016143,1.0321339928821749,0.27227756870645387,-0.691111894,-0.520764481,0.081876133,neutral
0.27019369526273884,normal,-0.177420319,freceuncia normal,-0.255507891,-0.312042404,0.31610222328721266,0.074488528,0.057991078999943824,-1.573376942,-1.200381104,0.14024878482407668,-0.074159803,0.8544131788344326,neutral
0.2302065855704698,normal,-0.5131901,Limite Bajo,3.2606289883501267,-2.853520238,0.138051947,-0.037475403,-0.145201235,-0.492035217,-0.921690429,1.6599148192019306,0.8234245294720859,1.0695535308047324,neutral
0.26139778190559443,normal,-0.142070667,freceuncia normal,-0.702110827,-0.612529798,0.36867204202693954,1.1234438484764253,-1.251174202,-0.203276922,-1.191681247,0.5299163296827261,0.7472921376843432,-1.289644329,neutral
0.24677922175480768,normal,-0.715788325,Limite Bajo,3.1057090805825234,3.2141586877149235,0.5493424488499807,-0.418663751,0.23007607526165177,-0.598634205,-0.491008105,-0.217493176,0.14742944985021822,0.18544897837388288,neutral
0.3891092936197917,normal,-0.136074958,freceuncia normal,-3.410559575,-1.111759814,2.2462510947236556,-1.286623398,0.23952578428936688,-1.310008814,0.024327379793903512,-0.890141075,-0.220350885,1.4841857552326538,neutral
0.2803398899778107,normal,-0.759775106,Limite Bajo,5.532488528,-0.752734861,-0.49721915,-1.284991433,0.5757402401811373,-1.340692035,0.7382622004628364,0.39548548046917714,1.643477946455268,1.2064850884634544,neutral
0.1731393574089404,normal,-0.297718381,freceuncia normal,-1.357689876,4.625538531,3.3094416605751804,0.9724122787062798,-2.118306208,-0.450289957,-0.567524853,1.2573000516376056,0.8826296080550464,-1.138779736,neutral
0.14625581781914893,normal,-0.954298173,Limite Bajo,4.4577808580714535,7.776065486697213,1.7724325734126176,-1.010069685,1.1077749301961743,-2.27421117,0.19805355658551732,-0.390313538,-0.014444224,-0.68757013,neutral
0.12130757250816994,normal,-0.323515785,freceuncia normal,-2.198929814,0.8014871421914888,2.6329877386942817,-0.373667053,0.5548262566842138,0.6409377642753158,0.35602832650160265,-0.181696102,0.829257235,0.17917104274855114,neutral
